home,score,away,Stage,stage,ko_label
Ivory Coast ,2–0, Guinea-Bissau,KO,Group,
Nigeria ,1–1, Equatorial Guinea,KO,Group,
Equatorial Guinea ,4–2, Guinea-Bissau,KO,Group,
Ivory Coast ,0–1, Nigeria,KO,Group,
Equatorial Guinea ,4–0, Ivory Coast,KO,Group,
Guinea-Bissau ,0–1, Nigeria,KO,Group,
Egypt ,2–2, Mozambique,KO,Group,
Ghana ,1–2, Cape Verde,KO,Group,
Egypt ,2–2, Ghana,KO,Group,
Cape Verde ,3–0, Mozambique,KO,Group,
Mozambique ,2–2, Ghana,KO,Group,
Cape Verde ,2–2, Egypt,KO,Group,
Senegal ,3–0, Gambia,KO,Group,
Cameroon ,1–1, Guinea,KO,Group,
Senegal ,3–1, Cameroon,KO,Group,
Guinea ,1–0, Gambia,KO,Group,
Guinea ,0–2, Senegal,KO,Group,
Gambia ,2–3, Cameroon,KO,Group,
Algeria ,1–1, Angola,KO,Group,
Burkina Faso ,1–0, Mauritania,KO,Group,
Algeria ,2–2, Burkina Faso,KO,Group,
Mauritania ,2–3, Angola,KO,Group,
Angola ,2–0, Burkina Faso,KO,Group,
Mauritania ,1–0, Algeria,KO,Group,
Tunisia ,0–1, Namibia,KO,Group,
Mali ,2–0, South Africa,KO,Group,
Tunisia ,1–1, Mali,KO,Group,
South Africa ,4–0, Namibia,KO,Group,
South Africa ,0–0, Tunisia,KO,Group,
Namibia ,0–0, Mali,KO,Group,
Morocco ,3–0, Tanzania,KO,Group,
DR Congo ,1–1, Zambia,KO,Group,
Morocco ,1–1, DR Congo,KO,Group,
Zambia ,1–1, Tanzania,KO,Group,
Tanzania ,0–0, DR Congo,KO,Group,
Zambia ,0–1, Morocco,KO,Group,
Egypt ,1–1 (a.e.t.), DR Congo,KO,L16,
Cape Verde ,1–0, Mauritania,KO,L16,
Senegal ,1–1 (a.e.t.), Ivory Coast,KO,L16,
Mali ,2–1, Burkina Faso,KO,L16,
Morocco ,0–2, South Africa,KO,L16,
Nigeria ,1–0, Angola,KO,L16,
DR Congo ,3–1, Guinea,KO,L16,
Mali ,1–2 (a.e.t.), Ivory Coast,KO,L16,
Cape Verde ,0–0 (a.e.t.), South Africa,KO,,
Nigeria ,1–1 (a.e.t.), South Africa,KO,,
Ivory Coast ,1–0, DR Congo,KO,,
South Africa ,0–0, DR Congo,KO,,
Nigeria ,1–2, Ivory Coast,KO,,
1D,,3BEF,KO,,
2A,,2C,KO,,
1A,,3CDE,KO,,
2B,,2F,KO,,
1B,,3ACD,KO,,
1C,,3ABF,KO,,
1E,,2D,KO,,
1F,,2E,KO,,
