home,score,away,year
Sudan ,1–2, Egypt,1957
Ethiopia ,2–0 1, South Africa,1957
Egypt ,4–0, Ethiopia,1957
United Arab Republic ,4–0, Ethiopia,1959
Sudan ,1–0, Ethiopia,1959
United Arab Republic ,2–1, Sudan,1959
Ethiopia ,4–2, Tunisia,1962
United Arab Republic ,2–1, Uganda,1962
Tunisia ,3–0, Uganda,1962
Ethiopia ,4–2 (a.e.t.), United Arab Republic,1962
Ghana ,1–1, Tunisia,1963
Ghana ,2–0, Ethiopia,1963
Ethiopia ,4–2, Tunisia,1963
United Arab Republic ,6–3, Nigeria,1963
United Arab Republic ,2–2, Sudan,1963
Sudan ,4–0, Nigeria,1963
United Arab Republic ,3–0, Ethiopia,1963
Ghana ,3–0, Sudan,1963
Tunisia ,4–0, Ethiopia,1965
Senegal ,0–0, Tunisia,1965
Senegal ,5–1, Ethiopia,1965
Ghana ,5–2, Congo-Léopoldville,1965
Ivory Coast ,3–0, Congo-Léopoldville,1965
Ghana ,4–1, Ivory Coast,1965
Senegal ,0–1, Ivory Coast,1965
Ghana ,3–2 (a.e.t.), Tunisia,1965
Ethiopia ,2–1, Uganda,1968
Ivory Coast ,3–0, Algeria,1968
Ethiopia ,1–0, Ivory Coast,1968
Algeria ,4–0, Uganda,1968
Ivory Coast ,2–1, Uganda,1968
Ethiopia ,3–1, Algeria,1968
Ghana ,2–2, Senegal,1968
Congo-Kinshasa ,3–0, Congo-Brazzaville,1968
Senegal ,2–1, Congo-Brazzaville,1968
Ghana ,2–1, Congo-Kinshasa,1968
Congo-Kinshasa ,2–1, Senegal,1968
Ghana ,3–1, Congo-Brazzaville,1968
Ethiopia ,2–3 (a.e.t.), Congo-Kinshasa,1968
Ghana ,4–3 [4], Ivory Coast,1968
Ivory Coast ,1–0, Ethiopia,1968
Congo-Kinshasa ,1–0, Ghana,1968
Cameroon ,3–2, Ivory Coast,1970
Sudan ,3–0, Ethiopia,1970
Cameroon ,3–2, Ethiopia,1970
Ivory Coast ,1–0, Sudan,1970
Ivory Coast ,6–1, Ethiopia,1970
Sudan ,2–1, Cameroon,1970
Ghana ,2–0, Congo-Kinshasa,1970
United Arab Rep. ,4–1, Guinea,1970
Congo-Kinshasa ,2–2, Guinea,1970
United Arab Rep. ,1–1, Ghana,1970
Guinea ,1–1, Ghana,1970
United Arab Rep. ,1–0, Congo-Kinshasa,1970
Ivory Coast ,1–2 (a.e.t.), Ghana,1970
United Arab Rep. ,1–2 (a.e.t.), Sudan,1970
United Arab Rep. ,3–1, Ivory Coast,1970
Sudan ,1–0, Ghana,1970
Cameroon ,2–1, Kenya,1972
Mali ,3–3, Togo,1972
Mali ,1–1, Kenya,1972
Cameroon ,2–0, Togo,1972
Togo ,1–1, Kenya,1972
Cameroon ,1–1, Mali,1972
Congo ,1–1, Morocco,1972
Zaire ,1–1, Sudan,1972
Morocco ,1–1, Sudan,1972
Zaire ,2–0, Congo,1972
Morocco ,1–1, Zaire,1972
Congo ,4–2, Sudan,1972
Cameroon ,0–1, Congo,1972
Zaire ,3–4 (a.e.t.), Mali,1972
Cameroon ,5–2, Zaire,1972
Congo ,3–2, Mali,1972
Egypt ,2–1, Uganda,1974
Zambia ,1–0, Ivory Coast,1974
Egypt ,3–1, Zambia,1974
Ivory Coast ,2–2, Uganda,1974
Egypt ,2–0, Ivory Coast,1974
Zambia ,1–0, Uganda,1974
Zaire ,2–1, Guinea,1974
Congo ,2–0, Mauritius,1974
Guinea ,2–1, Mauritius,1974
Congo ,2–1, Zaire,1974
Congo ,1–1, Guinea,1974
Zaire ,4–1, Mauritius,1974
Egypt ,2–3, Zaire,1974
Congo ,2–4 (a.e.t.), Zambia,1974
Congo ,0–4, Egypt,1974
Zaire ,2–2 (a.e.t.), Zambia,1974
Zaire ,2–0, Zambia,1974
Ethiopia ,2–0, Uganda,1976
Egypt ,1–1, Guinea,1976
Egypt ,2–1, Uganda,1976
Ethiopia ,1–2, Guinea,1976
Guinea ,2–1, Uganda,1976
Ethiopia ,1–1, Egypt,1976
Nigeria ,4–2, Zaire,1976
Morocco ,2–2, Sudan,1976
Nigeria ,1–0, Sudan,1976
Morocco ,1–0, Zaire,1976
Morocco ,3–1, Nigeria,1976
Zaire ,1–1, Sudan,1976
Guinea ,1–1, Nigeria,1976
Morocco ,2–1, Egypt,1976
Morocco ,2–1, Nigeria,1976
Guinea ,4–2, Egypt,1976
Nigeria ,3–2, Egypt,1976
Guinea ,1–1, Morocco,1976
Ghana ,2–1, Zambia,1978
Nigeria ,4–2, Upper Volta,1978
Zambia ,2–0, Upper Volta,1978
Nigeria ,1–1, Ghana,1978
Zambia ,0–0, Nigeria,1978
Ghana ,3–0, Upper Volta,1978
Morocco ,1–1, Tunisia,1978
Uganda ,3–1, Congo,1978
Tunisia ,3–1, Uganda,1978
Morocco ,1–0, Congo,1978
Congo ,0–0, Tunisia,1978
Uganda ,3–0, Morocco,1978
Ghana ,1–0, Tunisia,1978
Uganda ,2–1, Nigeria,1978
Nigeria ,1–11, Tunisia,1978
Ghana ,2–0, Uganda,1978
Nigeria ,3–1, Tanzania,1980
Egypt ,2–1, Ivory Coast,1980
Egypt ,2–1, Tanzania,1980
Nigeria ,0–0, Ivory Coast,1980
Ivory Coast ,1–1, Tanzania,1980
Nigeria ,1–0, Egypt,1980
Ghana ,0–0, Algeria,1980
Morocco ,1–1, Guinea,1980
Algeria ,1–0, Morocco,1980
Ghana ,1–0, Guinea,1980
Algeria ,3–2, Guinea,1980
Morocco ,1–0, Ghana,1980
Nigeria ,1–0, Morocco,1980
Algeria ,2–2, Egypt,1980
Morocco ,2–0, Egypt,1980
Nigeria ,3–0, Algeria,1980
Libya ,2–2, Ghana,1982
Cameroon ,1–1, Tunisia,1982
Cameroon ,0–0, Ghana,1982
Libya ,2–0, Tunisia,1982
Ghana ,1–0, Tunisia,1982
Libya ,0–0, Cameroon,1982
Nigeria ,3–0, Ethiopia,1982
Algeria ,1–0, Zambia,1982
Zambia ,1–0, Ethiopia,1982
Algeria ,2–1, Nigeria,1982
Algeria ,0–0, Ethiopia,1982
Zambia ,3–0, Nigeria,1982
Ghana ,3–2 (a.e.t.), Algeria,1982
Libya ,2–1, Zambia,1982
Zambia ,2–0, Algeria,1982
Ghana ,1–1, Libya,1982
Ivory Coast ,3–0, Togo,1984
Egypt ,1–0, Cameroon,1984
Cameroon ,4–1, Togo,1984
Ivory Coast ,1–2, Egypt,1984
Egypt ,0–0, Togo,1984
Ivory Coast ,0–2, Cameroon,1984
Ghana ,1–2, Nigeria,1984
Algeria ,3–0, Malawi,1984
Malawi ,2–2, Nigeria,1984
Algeria ,2–0, Ghana,1984
Algeria ,0–0, Nigeria,1984
Ghana ,1–0, Malawi,1984
Egypt ,2–2 (a.e.t.), Nigeria,1984
Algeria ,0–0 (a.e.t.), Cameroon,1984
Algeria ,3–1, Egypt,1984
Cameroon ,3–1, Nigeria,1984
Senegal ,1–0, Egypt,1986
Ivory Coast ,3–0, Mozambique,1986
Senegal ,2–0, Mozambique,1986
Egypt ,2–0, Ivory Coast,1986
Ivory Coast ,1–0, Senegal,1986
Egypt ,2–0, Mozambique,1986
Algeria ,0–0, Morocco,1986
Cameroon ,3–2, Zambia,1986
Algeria ,0–0, Zambia,1986
Cameroon ,1–1, Morocco,1986
Morocco ,1–0, Zambia,1986
Cameroon ,3–2, Algeria,1986
Cameroon ,1–0, Ivory Coast,1986
Egypt ,1–0, Morocco,1986
Ivory Coast ,3–2, Morocco,1986
Egypt ,0–0, Cameroon,1986
Morocco ,1–1, Zaire,1988
Ivory Coast ,1–1, Algeria,1988
Ivory Coast ,1–1, Zaire,1988
Morocco ,1–0, Algeria,1988
Algeria ,1–0, Zaire,1988
Morocco ,0–0, Ivory Coast,1988
Cameroon ,1–0, Egypt,1988
Nigeria ,3–0, Kenya,1988
Cameroon ,1–1, Nigeria,1988
Egypt ,3–0, Kenya,1988
Cameroon ,0–0, Kenya,1988
Nigeria ,0–0, Egypt,1988
Nigeria ,1–1 (a.e.t.), Algeria,1988
Morocco ,0–1, Cameroon,1988
Morocco ,1–1 (a.e.t.), Algeria,1988
Cameroon ,1–0, Nigeria,1988
Algeria ,5–1, Nigeria,1990
Ivory Coast ,3–1, Egypt,1990
Nigeria ,1–0, Egypt,1990
Algeria ,3–0, Ivory Coast,1990
Nigeria ,1–0, Ivory Coast,1990
Algeria ,2–0, Egypt,1990
Zambia ,1–0, Cameroon,1990
Senegal ,0–0, Kenya,1990
Zambia ,1–0, Kenya,1990
Senegal ,2–0, Cameroon,1990
Zambia ,0–0, Senegal,1990
Cameroon ,2–0, Kenya,1990
Zambia ,0–2, Nigeria,1990
Algeria ,2–1, Senegal,1990
Zambia ,1–0, Senegal,1990
Algeria ,1–0, Nigeria,1990
